Date,Sales,Inflation,Unemployment,Temperature
2020-01,660,109.7,5.55,-0.983707099187242
2020-02,720,109.7,5.55,-1.82635731785551
2020-03,614,109.35,5.85,6.63406797596493
2020-04,803,116.25,5.35,13.8885120283443
2020-05,630,115.85,5.8,10.93268776426
2020-06,554,108.4,5.4,18.7419978537778
2020-07,889,101.9,5.4,19.739472424819
2020-08,603,106,5.3,23.687952533211
2020-09,845,112.9,4.6,6.52184341761114
2020-10,909,108.6,5.4,13.2869687647218
2020-11,1046,104,6.45,14.4110783954566
2020-12,772,105.9,5.8,-4.63490085217003
2021-01,963,105.55,5.15,-3.06275124647586
2021-02,605,110.85,5.75,1.94661554037759
2021-03,1060,114.75,5.65,12.9661317513598
2021-04,819,110.05,5.55,10.9220008800945
2021-05,862,106.75,6.25,6.34947884864861
2021-06,864,104.75,6.75,20.790524001897
2021-07,989,107.05,5.7,17.6616160283981
2021-08,842,109.85,5.35,16.0122758458856
2021-09,786,109.4,5.7,8.35459825043023
2021-10,1045,107.45,5.65,9.87620877618318
2021-11,1348,107.75,5.85,10.5589365966708
2021-12,984,106.3,6.1,0.19641457824809
2022-01,1170,104,6.05,-2.94023911751964
2022-02,1203,112.15,5.85,2.72414463901451
2022-03,1177,112.4,6.35,13.4751677788348
2022-04,1025,110.85,6.15,6.59490311189061
2022-05,1155,108.5,4.95,5.30827622201174
2022-06,1273,102.25,4.95,23.5172534532751
2022-07,1244,110.25,6,19.4339844143914
2022-08,1347,116.7,6.4,20.088443549086
2022-09,1341,111.5,5.4,6.01009688883558
2022-10,1710,112.1,5.15,14.0977616960027
2022-11,1287,114.05,5.05,13.6123656598823
2022-12,1735,115,5.4,3.65790503992466
2023-01,1696,115.3,6.2,4.51402670538978
2023-02,1716,108.75,6.3,3.61320718796435
2023-03,1444,111.4,6.6,7.34552881056643
2023-04,1718,110.05,6.05,8.74547931413111
2023-05,1625,108.15,5.6,12.0373496563311
2023-06,1889,113.1,6.05,19.4382604681235
2023-07,1715,114.25,5.65,18.500417595534
2023-08,1850,116.45,5.35,23.8895791958833
2023-09,1915,117.75,5.15,14.2038959210953
2023-10,2167,117.1,4.65,13.2895426121673
2023-11,2131,113.35,5.55,10.7076581155661
2023-12,1839,110.55,5.55,4.61783306981607
2024-01,1888,109.8,4.9,-4.1270890688747
2024-02,2208,105.9,5.15,3.58368872053908
2024-03,2393,108.85,4.85,14.2570138967215
2024-04,2432,115.5,4.7,12.4034678087597
2024-05,2456,112.55,5.9,13.0901294402757
2024-06,2556,105.4,6.2,22.1593988047068
2024-07,2632,107.05,5.7,24.0531525097394
2024-08,2706,108.7,5.2,23.9462458040246
2024-09,2693,111.15,5,12.5862106174769
2024-10,2952,113.15,5.75,14.249115895613
2024-11,3061,108.7,6,8.43125527424987
2024-12,3276,112.45,5.25,-1.14104967381077
2025-01,3461,114.5,5.7,3.04905095394323
2025-02,3708,107.4,6.1,3.82489879935614
2025-03,3474,109.1,5.4,6.09465394348331
2025-04,3618,108.3,6.05,14.357828716366
2025-05,3796,102.1,6.75,7.64219188374321
2025-06,3897,102.05,6.25,17.8782330760675
2025-07,4123,109.3,6.3,16.7176564768179
2025-08,4389,110,6,21.5703249837191
2025-09,4334,108.25,5.35,6.43400428190662
2025-10,4572,113.45,5.65,12.7371267179903
2025-11,4796,113.45,5.45,8.99219544914628
2025-12,5243,112.5,6,-3.95736230833628
