Index,Name,Z_Classification,Subgroup_2,Subgroup_3,Subgroup_4,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,total amount
 ZB5K005," MAINZ safety glasses, clear uni", A, EYE AND FACE PROTECTION, GLASSES, MAINZ PROTECTIVE GLASSES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,1681,1445,2348,1369,270,29,1398,2055,682,1509,1549,1797,1970,1221,1975,798,1767,1477,1764,931,2813,2404,2978,10925,632,340,75,48532
 ZB5K003, ALB protective goggles transparent uni, B, EYE AND FACE PROTECTION, GLASSES, ALB SAFETY GOGGLES,122,140,810,274,249,277,285,1089,180,498,615,239,250,2338,138,28,0,15,2,2188,578,815,283,5,146,1158,804,610,414,550,498,973,381,344,321,310,184,238,387,307,1188,490,985,1391,786,394,460,250,250,566,744,504,641,1393,572,672,75,30408
 ZB5K186," ALF baseball cap, black uni", B, BODY PROTECTION, CLOTHING ACCESSORIES, HAT,0,0,0,0,0,5,749,303,353,362,399,342,157,123,223,422,669,1148,743,317,537,103,0,0,273,551,976,888,2861,308,4,0,0,12,6,0,1,0,3680,861,1643,545,285,37,930,519,228,691,149,303,927,1298,2143,1047,1112,549,92,29872
 ZB5K152, DALKE half mask with FFP2 valve light gray uni (3 pcs/pack), B, RESPIRATORY PROTECTION, HALF MASKS,,315,350,879,287,461,331,655,579,484,916,556,494,2411,669,6,22,0,0,0,2053,1278,12,0,0,1,3970,3235,830,228,281,167,522,218,441,408,197,264,83,221,261,253,128,262,343,387,111,57,195,27,177,421,61,477,608,591,254,164,28601
 ZB5K007, MAINZ tinted uni safety glasses, B, EYE AND FACE PROTECTION, GLASSES, MAINZ PROTECTIVE GLASSES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,1219,248,515,262,135,55,321,271,350,951,1120,2320,1817,358,596,167,364,329,70,172,1542,757,1396,6058,572,291,63,22620
 ZB5K290, ODER foam knee pads black uni (2 pcs/pack), B, LEG PROTECTION, KNEE PADS, ODER FOAM KNEE PADS,119,233,108,195,98,117,109,154,161,225,193,220,194,170,157,59,188,188,325,227,118,181,146,170,212,223,363,249,300,317,246,314,322,346,359,321,335,312,727,185,125,108,43,56,847,1225,748,472,835,572,1888,1706,2174,679,464,332,46,21506
 ZB5K188," WIPPER helmet-type cap, black uni", B, BODY PROTECTION, CLOTHING ACCESSORIES, HAT,0,0,0,0,0,1,364,351,257,633,365,584,77,501,245,150,544,414,283,241,551,170,36,51,35,193,660,362,674,876,839,337,828,576,459,30,23,13,359,597,606,794,980,215,668,373,241,43,67,384,364,769,377,421,370,532,301,20185
 ZB5K231-XL,ORLA warning vest yellow XL (54), B, BODY PROTECTION, WARNING CLOTHING, VEST,28,20,309,130,260,216,113,117,14,0,0,0,84,14,0,9,893,179,166,220,352,219,88,53,82,138,399,78,188,214,271,115,1121,413,336,138,6,1,708,659,253,1255,83,214,1463,1075,641,245,475,448,1158,355,539,1126,440,490,144,18755
 ZB5K473," ENZ knitted hat, black uni", B, BODY PROTECTION, CLOTHING ACCESSORIES, HAT,0,0,0,0,0,0,0,0,161,412,436,62,116,0,0,0,9,4,1,9,0,420,625,525,355,125,156,16,18,12,26,106,584,1107,1636,1737,392,20,27,6,6,0,0,43,1198,1378,4843,1825,32,7,15,2,7,0,0,63,153,18676
 ZB5K177, WALD hearing protectors green uni, B, HEARING PROTECTION, HEARING PROTECTORS, WALD PROTECTIVE EAR MUGS,0,400,135,105,63,160,112,136,61,347,109,168,151,85,133,61,227,161,6,78,360,688,744,248,214,552,302,517,88,577,366,297,873,118,46,2,374,428,413,254,431,500,318,695,862,670,620,129,252,5,21,43,922,751,413,776,158,17728
 ZB5K202," LANDERN insulated protective gloves, dark blue 10", D, HAND PROTECTION, GLOVES, LATEX COATED,1047,202,35,1,22,30,339,288,124,376,943,1225,15,117,269,76,9,9,47,106,223,464,331,613,1106,505,77,1,0,18,26,90,285,204,787,1221,311,26,2,28,29,7,98,68,370,578,1397,1062,166,328,142,84,42,57,19,154,1,16206
 ZB5K439-L, MURG sweatpants black L (52), A, BODY PROTECTION, CLOTHES, PANTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,136,44,216,470,12,786,97,2,556,374,497,146,81,147,654,892,893,27,365,615,1119,356,337,222,254,73,534,1244,982,319,597,419,695,677,295,338,40,274,28,15851
 ZB5K008," TRIENT safety glasses, clear uni", B, EYE AND FACE PROTECTION, GLASSES, TRIENT PROTECTIVE GLASSES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,854,487,579,290,1357,37,9,614,550,157,337,793,402,518,793,392,814,617,419,398,764,659,670,1120,940,932,85,15689
